experiment,controller,payload_mass_kg,relative_error,joint_1_rmse_rad,joint_2_rmse_rad,overall_joint_rmse_rad,joint_1_rmse_deg,joint_2_rmse_deg,overall_joint_rmse_deg,end_effector_rmse_m,maximum_end_effector_error_m,control_effort_nm2_s,saturation_fraction,absolute_mechanical_work_j,recovered,recovery_time_s,post_disturbance_peak_m,source_npz,source_yaml,configuration_sha256,rmse_ratio_to_own_nominal
model_uncertainty,pid,,0.1,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.1.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.1.yaml,80306ae6d04290939d985b56c01e4353b68b709d655f6f0daef71e92c0e5a3a2,1.0
model_uncertainty,pid_gravity,,0.1,0.003964068963909741,0.0011082930960758539,0.0029105116678551425,0.22712442133082522,0.06350051686863349,0.16676003479168172,0.00379666992038995,0.0075840024822376555,1445.2675519789661,0.0,53.622869358537386,,,,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.1.npz,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.1.yaml,d5c4bb1b19a3db939d399ad9dbdf173033c207b9f9babe6c4667e1d306633bd0,1.0925480180368363
model_uncertainty,computed_torque,,0.1,0.007523050721047379,0.013072602575781552,0.010665112054164795,0.4310390553788656,0.7490049548441319,0.6110659087377426,0.008335080232508313,0.011144478347295705,1447.9384021834949,0.0,53.41544302231661,,,,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.1.npz,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.1.yaml,57d49c981be78500a461fe2778d718c2b0418c67530006694ef9283f500b0b39,122.40701745415306
model_uncertainty,pid,,0.2,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.2.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.2.yaml,2b1d3f0ea56ada25bf04275995a1b25cec49db395ef1c73e665e5f394144c93e,1.0
model_uncertainty,pid_gravity,,0.2,0.00556642647655025,0.0013615609090056337,0.004052095249853587,0.3189327440762068,0.07801169363601873,0.23216795600161935,0.005248481811461897,0.010189842739184133,1446.2049385368782,0.0,53.58057184798925,,,,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.2.npz,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.2.yaml,7d28969d74edb8df1c97341be5271564e5bbcb8900b66bdcb2f22a91b74b4b90,1.5210757211588526
model_uncertainty,computed_torque,,0.2,0.014282705876678905,0.023830783332373092,0.019645634647348843,0.8183387667603996,1.365403307435686,1.12561195114907,0.015359573128599514,0.02046146518288362,1449.1591913727684,0.0,53.386972876633536,,,,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.2.npz,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.2.yaml,d3ed1a176562a10ec969f47d2491001225008de24b7870142eacf611f900f274,225.47944465683022
model_uncertainty,pid,,0.3,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.3.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_0.3.yaml,1a2ef6f57d8d4504c15d4cc03e3bf8afcd317fdc5bead89ff62c1dc5a8d13e0c,1.0
model_uncertainty,pid_gravity,,0.3,0.007638122125452375,0.001891305146581782,0.005564078753972291,0.43763216119391496,0.10836380267050762,0.3187982294810222,0.007198217784079556,0.013659091108325746,1447.154657606269,0.0,53.5458333214577,,,,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.3.npz,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_0.3.yaml,0cf0d5e5010f0c45e9f168ad0860657132a170b84e4696fd60ca2e9a897ae211,2.088644165901297
model_uncertainty,computed_torque,,0.3,0.02040299225399473,0.032851365970571894,0.02734496607283523,1.1690053455920086,1.882244621353463,1.566751146901884,0.021361480878313285,0.02836883388252302,1450.1283946132307,0.0,53.37656172415845,,,,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.3.npz,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_0.3.yaml,1ca0d965e093d053003fe55ca6c93805e3c93e82affa6b0ceca441d7db56cd9b,313.84721720327883
disturbance,pid,,,0.02369563146129351,0.013441940842430167,0.01926355008767641,1.3576596756295296,0.7701664787357749,1.1037201184627252,0.025196560577857244,0.054107412955028196,1483.0103153730447,0.0,56.51907211323342,True,1.5549999999999997,0.027644158875520852,results/disturbance/20260913T114926_385587Z/pid_disturbance.npz,results/disturbance/20260913T114926_385587Z/pid_disturbance.yaml,9571edf6007699b29ded8c2871bff6668cee3ac12aa7db8e06ddaf05acc4dbf9,0.989850692176093
disturbance,pid_gravity,,,0.003796493192743634,0.002131786955858723,0.0030787884132981755,0.2175230368943572,0.12214239539174634,0.17640158209576484,0.00399706476445263,0.01756365497491008,1483.6272491398818,0.0,55.571081730450885,True,0.08699999999999974,0.01756365497491008,results/disturbance/20260913T114926_385587Z/pid_gravity_disturbance.npz,results/disturbance/20260913T114926_385587Z/pid_gravity_disturbance.yaml,3f5619683e4b0ef1e2c14d97733af71419d77577c8d423322d6bcc86cd62d92e,1.1557157513072414
disturbance,computed_torque,,,0.007836933254314353,0.054668249966953186,0.039051472938173896,0.4490231997979379,3.13225999647262,2.2374845831267125,0.015138848026908146,0.10244818225839805,1487.0294410581646,0.0,56.07049835564145,True,0.2629999999999999,0.10244818225839805,results/disturbance/20260913T114926_385587Z/computed_torque_disturbance.npz,results/disturbance/20260913T114926_385587Z/computed_torque_disturbance.yaml,f60bcaa7f2b126144bc3acf96a2fbf1bc35a28ee886e02843617189375178580,448.2066672414144
